	posicao	nome	cargo	partido	pontuacao	estado	presidente
0	0	Eduardo Girão	Senador	PODEMOS	8.34	CE	False
1	1	Alex Manente 	Deputado Federal	CIDADANIA	8.28	SP	False
2	2	Adriana Ventura 	Deputado Federal	NOVO	8.1	SP	False
3	3	Lucas Redecker 	Deputado Federal	PSDB	8.08	RS	False
4	4	Carlos Portinho	Senador	PL	8.05	RJ	False
5	5	Marco Bertaiolli 	Deputado Federal	PSD	8.02	SP	False
6	6	Paula Belmonte 	Deputado Federal	CIDADANIA	8.0	DF	False
7	7	Guiga Peixoto 	Deputado Federal	PSC	7.95	SP	False
8	8	Marcelo Calero 	Deputado Federal	PSD	7.93	RJ	False
9	9	Rodrigo Coelho 	Deputado Federal	PODEMOS	7.91	SC	False
10	10	Oriovisto Guimarães	Senador	PODEMOS	7.9	PR	False
11	11	Vinicius Poit 	Deputado Federal	NOVO	7.89	SP	False
12	12	Pedro Vilela	Deputado Federal	PSDB	7.88	AL	False
13	13	Arnaldo Jardim 	Deputado Federal	CIDADANIA	7.87	SP	False
14	13	Daniel Trzeciak 	Deputado Federal	PSDB	7.87	RS	False
15	13	Alexis Fonteyne 	Deputado Federal	NOVO	7.87	SP	False
16	16	Kim Kataguiri 	Deputado Federal	UNIÃO	7.86	SP	False
17	16	Joice Hasselmann 	Deputado Federal	PSDB	7.86	SP	False
18	18	Paulo Ganime 	Deputado Federal	NOVO	7.83	RJ	False
19	19	Pedro Cunha Lima 	Deputado Federal	PSDB	7.82	PB	False
20	20	Gilson Marques 	Deputado Federal	NOVO	7.81	SC	False
21	20	Tiago Mitraud 	Deputado Federal	NOVO	7.81	MG	False
22	22	Júnior Ferrari 	Deputado Federal	PSD	7.8	PA	False
23	22	General Peternelli 	Deputado Federal	UNIÃO	7.8	SP	False
24	24	Samuel Moreira 	Deputado Federal	PSDB	7.78	SP	False
25	24	Luiz Philippe de Orleans e Bragança 	Deputado Federal	PL	7.78	SP	False
26	26	Daniel Coelho 	Deputado Federal	CIDADANIA	7.76	PE	False
27	27	Joaquim Passarinho 	Deputado Federal	PL	7.75	PA	False
28	28	Paulo Eduardo Martins 	Deputado Federal	PL	7.73	PR	False
29	29	Felipe Rigoni 	Deputado Federal	UNIÃO	7.72	ES	False
30	30	Aline Sleutjes 	Deputado Federal	PROS	7.71	PR	False
31	31	Luiz Lima 	Deputado Federal	PL	7.69	RJ	False
32	32	Evair Vieira de Melo 	Deputado Federal	PP	7.68	ES	False
33	33	Marcel van Hattem	Deputado Federal	NOVO	7.67	RS	False
34	34	Bibo Nunes 	Deputado Federal	PL	7.66	RS	False
35	35	Marcos do Val	Senador	PODEMOS	7.65	ES	False
36	36	Capitão Alberto Neto 	Deputado Federal	PL	7.63	AM	False
37	37	Daniel Freitas 	Deputado Federal	PL	7.6	SC	False
38	38	Plínio Valério	Senador	PSDB	7.59	AM	False
39	39	Mariana Carvalho 	Deputado Federal	REPUBLICANOS	7.56	RO	False
40	40	Laercio Oliveira 	Deputado Federal	PP	7.55	SE	False
41	40	Caroline de Toni 	Deputado Federal	PL	7.55	SC	False
42	40	Major Vitor Hugo	Deputado Federal	PL	7.55	GO	False
43	43	Dra. Soraya Manato 	Deputado Federal	PTB	7.52	ES	False
44	44	Jorginho Mello	Senador	PL	7.51	SC	False
45	45	Lucas Gonzalez 	Deputado Federal	NOVO	7.5	MG	False
46	45	Chris Tonietto 	Deputado Federal	PL	7.5	RJ	False
47	45	Bia Kicis 	Deputado Federal	PL	7.5	DF	False
